Protocol,Benchmark,Algorithm,Instance,Seed,Iteration_Limit,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Feasible,Batch_Workers,Source_Record
Fixed iteration,Chao,Ejection OFF,p4.2.n,2,2500,2500,1080.0,1174.0,8.006814310051107,178.87243474394086,,7.722899499999585,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.n,3,2500,2500,1132.0,1174.0,3.577512776831346,179.41375537064715,,7.03729039999962,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.o,0,2500,2500,1150.0,1218.0,5.582922824302135,189.63144211283668,,9.158341600000313,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.o,1,2500,2500,1165.0,1218.0,4.351395730706075,189.17053956629772,,8.083682899999985,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.o,2,2500,2500,1197.0,1218.0,1.7241379310344827,189.13488416479856,,6.041420099999414,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.o,3,2500,2500,1200.0,1218.0,1.477832512315271,188.690067263908,,6.328603099999782,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.p,0,2500,2500,1216.0,1242.0,2.0933977455716586,199.6699374989045,,6.417696099999375,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.p,1,2500,2500,1209.0,1242.0,2.657004830917874,199.1822631598244,,6.666336399999636,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.p,2,2500,2500,1215.0,1242.0,2.1739130434782608,199.7911101160061,,6.317432400000143,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.p,3,2500,2500,1235.0,1242.0,0.5636070853462157,198.35820073895889,,5.979737200000272,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.q,0,2500,2500,1253.0,1268.0,1.1829652996845426,209.3915034010679,,6.00886200000059,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.q,1,2500,2500,1255.0,1268.0,1.025236593059937,209.6711062114765,,6.311450400000467,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.q,2,2500,2500,1242.0,1268.0,2.050473186119874,209.40812533184996,,6.275370499999553,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.q,3,2500,2500,1251.0,1268.0,1.3406940063091484,209.60116627427865,,6.233813900000314,True,2,02_fixed_2500_ejection_on_off/runs.csv
