Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Batch_Workers,Source_Record
Symmetric wall clock,Chao,Ejection OFF,p4.2.o,1,2500,12.127632750000204,12.127632750000204,3704,1166.0,1218.0,4.269293924466338,189.5146878143161,79,11.878182300000844,0.2494504499993581,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.o,2,2500,12.127632750000204,12.127632750000204,4843,1201.0,1218.0,1.3957307060755335,189.0355771983457,81,11.669794100000216,0.4578386499999851,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.o,3,2500,12.127632750000204,12.127632750000204,4456,1200.0,1218.0,1.477832512315271,188.690067263908,81,11.868646200000512,0.2589865499996904,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.p,0,2500,10.97855225000012,10.97855225000012,4324,1215.0,1242.0,2.1739130434782608,199.7911101160061,84,10.730379900000116,0.2481723500000043,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.p,1,2500,10.97855225000012,10.97855225000012,4024,1216.0,1242.0,2.0933977455716586,199.74771515353467,83,10.729159599999548,0.2493926500005727,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.p,2,2500,10.97855225000012,10.97855225000012,3906,1215.0,1242.0,2.1739130434782608,199.3901739631941,84,10.502912399999332,0.475639850000789,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.p,3,2500,10.97855225000012,10.97855225000012,4231,1238.0,1242.0,0.322061191626409,199.29492834657952,81,10.508033500000238,0.4705187499998828,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.q,0,2500,9.957844875000092,9.957844875000092,3754,1255.0,1268.0,1.025236593059937,209.73651579073635,87,9.708409599999868,0.2494352750002235,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.q,1,2500,9.957844875000092,9.957844875000092,3956,1251.0,1268.0,1.3406940063091484,209.60116627427865,84,9.709383399998842,0.2484614750012497,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.q,2,2500,9.957844875000092,9.957844875000092,3923,1242.0,1268.0,2.050473186119874,209.40812533184996,86,9.539555400000609,0.418289474999483,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
