Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Feasible,Batch_Workers,Source_Record
Runtime budget baseline,Chao,GRASP,p4.2.l,1,2500,12.181557350000048,11.931557350000048,33783,966.0,1074.0,10.05586592178771,158.79693127718218,61,11.931727600000158,0.2498297499998898,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.l,2,2500,12.181557350000048,11.931557350000048,33709,967.0,1074.0,9.962756052141527,157.52684892109738,69,11.931971100002556,0.2495862499974919,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.l,3,2500,12.181557350000048,11.931557350000048,33750,953.0,1074.0,11.266294227188082,157.87616326652946,66,11.931735400001344,0.2498219499987044,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.m,0,2500,12.442858424999711,12.192858424999711,32309,1004.0,1132.0,11.307420494699647,168.73841909222187,69,12.193184499999916,0.2496739249997972,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.m,1,2500,12.442858424999711,12.192858424999711,32427,1002.0,1132.0,11.484098939929329,166.53881374951405,64,12.193279999999504,0.2495784250002088,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.m,2,2500,12.442858424999711,12.192858424999711,32330,1003.0,1132.0,11.395759717314487,167.2531791933692,68,12.193200400000933,0.2496580249987801,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.m,3,2500,12.442858424999711,12.192858424999711,32431,1013.0,1132.0,10.512367491166078,168.13505225921622,68,12.19320180000068,0.2496566249990337,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.n,0,2500,11.478437850000546,11.228437850000546,28062,1042.0,1174.0,11.243611584327088,178.15906609144758,74,11.228930000001128,0.2495078499994178,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.n,1,2500,11.478437850000546,11.228437850000546,28207,1055.0,1174.0,10.136286201022147,175.4938881619221,72,11.2289595000002,0.249478350000345,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.n,2,2500,11.478437850000546,11.228437850000546,28020,1059.0,1174.0,9.795570698466781,177.62857349091468,73,11.2286337000005,0.2498041500000454,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.n,3,2500,11.478437850000546,11.228437850000546,28298,1056.0,1174.0,10.051107325383304,178.2624953427646,69,11.22858350000024,0.2498543500003052,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.o,0,2500,12.127632750000204,11.877632750000204,28513,1102.0,1218.0,9.523809523809524,185.8955879431162,77,11.87821580000309,0.2494169499971121,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.o,1,2500,12.127632750000204,11.877632750000204,28283,1105.0,1218.0,9.277504105090312,189.0008668075789,72,11.87798649999968,0.2496462500005236,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.o,2,2500,12.127632750000204,11.877632750000204,28536,1109.0,1218.0,8.949096880131362,187.299937295946,75,11.877844599999662,0.2497881500005405,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.o,3,2500,12.127632750000204,11.877632750000204,28427,1106.0,1218.0,9.195402298850574,185.6020668389668,75,11.878223499999876,0.2494092500003262,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.p,0,2500,10.97855225000012,10.72855225000012,24340,1142.0,1242.0,8.051529790660226,197.7851389174317,79,10.729086000003008,0.2494662499971127,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.p,1,2500,10.97855225000012,10.72855225000012,24214,1142.0,1242.0,8.051529790660226,195.1325419596188,79,10.72890660000121,0.2496456499989108,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.p,2,2500,10.97855225000012,10.72855225000012,24314,1155.0,1242.0,7.004830917874396,197.51354125169323,80,10.72901080000156,0.2495414499985599,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.p,3,2500,10.97855225000012,10.72855225000012,24358,1116.0,1242.0,10.144927536231885,197.6064566707392,79,10.7292019000015,0.2493503499986218,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.q,0,2500,9.957844875000092,9.707844875000092,21253,1179.0,1268.0,7.018927444794953,205.8287448314064,78,9.708196699997645,0.2496481750024486,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.q,1,2500,9.957844875000092,9.707844875000092,21205,1180.0,1268.0,6.94006309148265,207.4139670159553,80,9.70855180000217,0.2492930749979223,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.q,2,2500,9.957844875000092,9.707844875000092,21186,1190.0,1268.0,6.151419558359621,206.9525829722799,80,9.70856840000124,0.2492764749988509,True,True,2,05_runtime_budget_baselines/raw_runs.csv
