Size,Instance,Seed,Configuration,Ejection_Enabled,K,L,Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Runtime_Seconds,Feasible,History_Valid,Source_Record
small,bier127_gen1_m3,0,k100_l1,True,100,1,5000,103.0,103.0,0.0,57981.18115462693,112.79301239999995,True,True,sensitivity_csv:85
small,bier127_gen1_m3,1,k100_l1,True,100,1,5000,102.0,103.0,0.970873786407767,57072.76028708521,112.59406779999995,True,True,sensitivity_csv:86
small,bier127_gen1_m3,0,k100_l3,True,100,3,5000,102.0,103.0,0.970873786407767,57467.49626127408,166.6889526,True,True,sensitivity_csv:87
small,bier127_gen1_m3,1,k100_l3,True,100,3,5000,103.0,103.0,0.0,58459.982143792455,172.08123090000004,True,True,sensitivity_csv:88
small,bier127_gen1_m3,0,k100_l5,True,100,5,5000,101.0,103.0,1.941747572815534,56998.64633431067,179.1992651999999,True,True,sensitivity_csv:89
small,bier127_gen1_m3,1,k100_l5,True,100,5,5000,102.0,103.0,0.970873786407767,58183.91263347255,174.09098990000007,True,True,sensitivity_csv:90
small,bier127_gen1_m3,0,k100_linf,True,100,,5000,102.0,103.0,0.970873786407767,56982.24089565987,179.77735359999997,True,True,sensitivity_csv:91
small,bier127_gen1_m3,1,k100_linf,True,100,,5000,102.0,103.0,0.970873786407767,57019.557650361596,184.38792290000015,True,True,sensitivity_csv:92
small,bier127_gen1_m3,0,k20_l1,True,20,1,5000,101.0,103.0,1.941747572815534,57199.19119557037,100.47293149999996,True,True,sensitivity_csv:93
small,bier127_gen1_m3,1,k20_l1,True,20,1,5000,102.0,103.0,0.970873786407767,58499.916909179505,103.0980962000001,True,True,sensitivity_csv:94
small,bier127_gen1_m3,0,k6_l1,True,6,1,5000,102.0,103.0,0.970873786407767,57074.52214126969,89.52496280000003,True,True,sensitivity_csv:95
small,bier127_gen1_m3,1,k6_l1,True,6,1,5000,102.0,103.0,0.970873786407767,57019.557650361596,88.6221832,True,True,sensitivity_csv:96
small,bier127_gen1_m3,0,off,False,0,1,5000,102.0,103.0,0.970873786407767,57503.776584915104,46.439525600000024,True,True,sensitivity_csv:97
small,bier127_gen1_m3,1,off,False,0,1,5000,101.0,103.0,1.941747572815534,57666.2098301993,44.239176499999985,True,True,sensitivity_csv:98
small,bier127_gen2_m3,0,k100_l1,True,100,1,5000,5326.0,5393.0,1.2423511959948081,58468.609278102595,133.6510229999999,True,True,sensitivity_csv:99
small,bier127_gen2_m3,1,k100_l1,True,100,1,5000,5329.0,5393.0,1.1867235305025032,59064.85853195519,127.9043650000001,True,True,sensitivity_csv:100
small,bier127_gen2_m3,0,k100_l3,True,100,3,5000,5137.0,5393.0,4.746894122010013,59051.83760202125,231.3527856999999,True,True,sensitivity_csv:101
small,bier127_gen2_m3,1,k100_l3,True,100,3,5000,5326.0,5393.0,1.2423511959948081,58468.609278102595,238.89736530000005,True,True,sensitivity_csv:102
