Protocol,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Source_Record
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m2,0,2500,74.74050765000015,,2500,2767.0,2818.0,1.8097941802696949,572.1010645074937,,78.94172010000057,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:65
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m2,1,2500,74.74050765000015,,2500,2731.0,2818.0,3.0872959545777148,572.542915471475,,69.8921250000003,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:66
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m2,2,2500,74.74050765000015,,2500,2762.0,2818.0,1.98722498225692,572.3973072144593,,74.73213179999948,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:67
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m2,3,2500,74.74050765000015,,2500,2757.0,2818.0,2.164655784244145,572.0332137855994,,75.39605370000027,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:68
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m3,0,2500,57.302805800000215,,2500,2685.0,2766.0,2.928416485900217,572.0541223032262,,54.01242710000042,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:69
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m3,1,2500,57.302805800000215,,2500,2740.0,2766.0,0.9399855386840202,569.8510468392009,,56.219893800000136,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:70
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m3,2,2500,57.302805800000215,,2500,2726.0,2766.0,1.4461315979754157,570.4135138720442,,61.94919990000017,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:71
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m3,3,2500,57.302805800000215,,2500,2703.0,2766.0,2.27765726681128,572.3761254148017,,57.02970240000013,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:72
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m4,0,2500,49.67051197500018,,2500,2695.0,2712.0,0.6268436578171092,570.7992431815844,,48.01568090000001,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:73
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m4,1,2500,49.67051197500018,,2500,2655.0,2712.0,2.101769911504425,571.6361733736105,,50.869472500000484,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:74
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m4,2,2500,49.67051197500018,,2500,2702.0,2712.0,0.3687315634218289,571.4432565067874,,46.44190720000006,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:75
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200c_m4,3,2500,49.67051197500018,,2500,2669.0,2712.0,1.5855457227138643,569.3050643477375,,53.354987300000175,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:76
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101b_m3,0,2500,11.140341025000225,,2500,905.0,916.0,1.2008733624454149,312.74781205699367,,10.589640200000758,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:77
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101b_m3,1,2500,11.140341025000225,,2500,903.0,916.0,1.4192139737991267,312.82094044582794,,11.10766699999931,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:78
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101b_m3,2,2500,11.140341025000225,,2500,905.0,916.0,1.2008733624454149,312.74781205699367,,11.094321900000068,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:79
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101b_m3,3,2500,11.140341025000225,,2500,916.0,916.0,0.0,313.32899202216595,,11.769735000000765,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:80
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m2,0,2500,16.907939650000117,,2500,1297.0,1305.0,0.6130268199233716,470.3494749709462,,17.215554299999894,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:81
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m2,1,2500,16.907939650000117,,2500,1288.0,1305.0,1.3026819923371646,471.4984894984383,,16.46811400000024,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:82
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m2,2,2500,16.907939650000117,,2500,1303.0,1305.0,0.1532567049808429,471.27856296487334,,17.136486700000205,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:83
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m2,3,2500,16.907939650000117,,2500,1293.0,1305.0,0.9195402298850575,471.3985040544215,,16.811603600000126,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:84
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m3,0,2500,14.348517775000118,,2500,1238.0,1251.0,1.0391686650679457,468.07292792831265,,15.345692100000633,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:85
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m3,1,2500,14.348517775000118,,2500,1203.0,1251.0,3.8369304556354917,469.86525779924034,,13.617330199999742,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:86
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m3,2,2500,14.348517775000118,,2500,1238.0,1251.0,1.0391686650679457,468.07292792831265,,14.855298100000255,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:87
Runtime-budget comparison,Ejection ON fixed-iteration reference,eil101c_m3,3,2500,14.348517775000118,,2500,1202.0,1251.0,3.9168665067945643,470.7411642188313,,13.575750699999844,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:88
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m3,0,2500,41.54455177500017,,2500,98.0,101.0,2.9702970297029703,1178.4493481788504,,41.73926350000056,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:89
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m3,1,2500,41.54455177500017,,2500,99.0,101.0,1.9801980198019802,1182.4485275435518,,41.86507730000085,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:90
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m3,2,2500,41.54455177500017,,2500,98.0,101.0,2.9702970297029703,1178.5242771313751,,41.886379399999896,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:91
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m3,3,2500,41.54455177500017,,2500,99.0,101.0,1.9801980198019802,1184.6842974755439,,40.687486899999385,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:92
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m4,0,2500,29.95938504999981,,2500,77.0,78.0,1.2820512820512822,1148.2174281261966,,29.875638900000013,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:93
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m4,1,2500,29.95938504999981,,2500,77.0,78.0,1.2820512820512822,1153.1839762761322,,29.43742139999995,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:94
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m4,2,2500,29.95938504999981,,2500,77.0,78.0,1.2820512820512822,1151.9796037336878,,30.157967999999528,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:95
