algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
on,cmt151c_m4,1880.0,1859.0,1826.0,1.1170212765957446,2.872340425531915,16.351540699999532,2385.0,Dang,time
on,cmt200b_m2,2096.0,2074.0,2048.75,1.049618320610687,2.254293893129771,38.831581874999756,2503.75,Dang,time
on,cmt200b_m3,2019.0,1958.0,1936.75,3.0212976721149083,4.073798910351659,27.562666199997693,2615.0,Dang,time
on,cmt200b_m4,1894.0,1874.0,1858.75,1.0559662090813093,1.8611404435058079,22.65489059999709,2484.75,Dang,time
on,cmt200c_m2,2818.0,2783.0,2760.75,1.242015613910575,2.031582682753726,46.54666572500173,2490.75,Dang,time
on,cmt200c_m3,2766.0,2736.0,2717.75,1.0845986984815619,1.7443962400578452,35.96840435000013,2524.75,Dang,time
on,cmt200c_m4,2712.0,2707.0,2679.25,0.18436578171091444,1.2075958702064897,32.201808124998934,2725.5,Dang,time
on,eil101b_m3,916.0,916.0,907.25,0.0,0.9552401746724891,7.099787449998985,2422.25,Dang,time
on,eil101c_m2,1305.0,1303.0,1295.25,0.1532567049808429,0.7471264367816092,10.823299850000694,2425.0,Dang,time
on,eil101c_m3,1251.0,1244.0,1231.0,0.5595523581135092,1.5987210231814548,9.254091250002602,2525.0,Dang,time
on,gil262_gen1_m3,101.0,99.0,98.25,1.9801980198019802,2.722772277227723,24.6925960499957,2514.25,Dang,time
on,gil262_gen1_m4,78.0,77.0,77.0,1.2820512820512822,1.2820512820512822,17.65938512500179,2469.5,Dang,time
on,gil262_gen2_m2,7498.0,7363.0,7203.25,1.8004801280341425,3.931048279541211,58.51682232500207,2624.25,Dang,time
on,gil262_gen2_m3,5615.0,5538.0,5501.5,1.371326803205699,2.0213713268032056,27.63236224999673,2460.0,Dang,time
on,gil262_gen3_m2,7183.0,6881.0,6605.5,4.204371432549074,8.039816232771823,55.12729070000205,2321.0,Dang,time
on,gil262_gen3_m4,2507.0,2498.0,2452.25,0.35899481451934584,2.183885121659354,20.935267174996625,2523.25,Dang,time
on,gil262a_m2,4078.0,4052.0,3820.75,0.6375674350171653,6.308239333006376,22.10668639999858,2451.0,Dang,time
on,gil262a_m4,3175.0,3175.0,3161.75,0.0,0.41732283464566927,12.363631050002368,2606.75,Dang,time
on,gil262b_m2,8081.0,7794.0,7728.5,3.551540650909541,4.362083900507363,53.778776475000996,2507.5,Dang,time
on,gil262b_m3,7585.0,7396.0,7273.25,2.4917600527356627,4.1100856954515494,39.25954594999894,2426.75,Dang,time
on,gil262b_m4,6781.0,6751.0,6621.25,0.4424126235068574,2.3558472201740157,31.073851024997566,2491.75,Dang,time
on,gil262c_m2,11030.0,10879.0,10857.5,1.3689936536718041,1.5639165911151405,71.07616660000167,2370.5,Dang,time
on,gil262c_m3,10757.0,10528.0,10394.5,2.1288463326206193,3.3698986706330762,53.91637257500042,2525.0,Dang,time
on,gil262c_m4,10281.0,10125.0,9907.75,1.517362124306974,3.6304834160101156,46.29351834999943,2645.75,Dang,time
on,gr229_gen1_m4,223.0,220.0,220.0,1.345291479820628,1.345291479820628,33.00476402499953,2604.0,Dang,time
on,gr229_gen2_m3,11566.0,11529.0,11525.75,0.3199031644475186,0.3480027667300709,27.250141925002026,2480.5,Dang,time
on,gr229_gen2_m4,11355.0,11280.0,11160.0,0.6605019815059445,1.7173051519154559,42.485399099998176,2539.75,Dang,time
on,gr229_gen3_m3,8056.0,7974.0,7958.25,1.0178748758689176,1.2133813306852035,26.343624749997616,2594.25,Dang,time
on,gr229_gen3_m4,7651.0,7355.0,7355.0,3.868775323487126,3.868775323487126,51.74643137500061,2521.0,Dang,time
on,kroA150_gen2_m2,4335.0,4227.0,4221.5,2.491349480968858,2.618223760092272,22.821671550000246,2529.75,Dang,time
on,kroA150_gen3_m3,2726.0,2692.0,2601.5,1.247248716067498,4.567131327953045,15.013837599999533,2468.5,Dang,time
on,kroA200_gen1_m4,81.0,81.0,80.25,0.0,0.9259259259259259,14.68541384999844,2496.75,Dang,time
on,kroB200_gen1_m2,111.0,111.0,108.25,0.0,2.4774774774774775,25.551284099998156,2551.5,Dang,time
on,kroB200_gen2_m2,6185.0,6180.0,6179.0,0.08084074373484236,0.09700889248181083,38.24997687499854,2699.5,Dang,time
on,kroB200_gen2_m4,4944.0,4940.0,4933.0,0.08090614886731391,0.22249190938511326,20.46718932499971,2700.5,Dang,time
on,kroB200_gen3_m2,4765.0,4610.0,4498.5,3.2528856243441764,5.5928646379853095,23.898869725000623,2335.25,Dang,time
on,kroB200_gen3_m3,3028.0,2923.0,2910.75,3.467635402906209,3.8721928665785996,25.70239159999801,2576.0,Dang,time
on,lin318_gen1_m2,180.0,177.0,170.25,1.6666666666666667,5.416666666666667,60.04256584999894,2404.75,Dang,time
on,lin318_gen1_m3,149.0,148.0,147.0,0.6711409395973155,1.342281879194631,42.8623021250005,2489.25,Dang,time
on,lin318_gen2_m2,9544.0,8751.0,8699.75,8.308885163453478,8.845871751886001,94.53506047500014,2350.0,Dang,time
on,lin318_gen2_m3,7807.0,7786.0,7558.0,0.26898936851543487,3.1894453695401563,52.12372947499716,2600.5,Dang,time
on,lin318_gen3_m2,7936.0,7088.0,6728.0,10.685483870967742,15.221774193548388,83.51840965000156,2130.0,Dang,time
on,lin318_gen3_m4,3797.0,3784.0,3769.5,0.3423755596523571,0.7242559915722939,37.79511292499956,2592.75,Dang,time
on,pr136_gen1_m2,63.0,62.0,61.75,1.5873015873015872,1.9841269841269842,10.192630600000484,2451.25,Dang,time
on,pr136_gen2_m2,3646.0,3625.0,3588.5,0.575973669775096,1.5770707624794296,12.850121449999278,2460.25,Dang,time
on,pr264_gen1_m4,107.0,106.0,106.0,0.9345794392523364,0.9345794392523364,26.19273544999851,2509.5,Dang,time
on,pr264_gen2_m2,6635.0,6631.0,6617.25,0.06028636021100226,0.26752072343632255,63.8776376750011,2567.0,Dang,time
on,pr264_gen2_m3,6420.0,6420.0,6374.25,0.0,0.7126168224299065,37.240630824997424,2490.0,Dang,time
